id,code,name,reconcile,user_type_id/id,chart_template_id/id
ec520117,610107,GASTOS DE VIAJE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52011801,610108,AGUA POTABLE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52011802,610109,ENERGIA ELECTRICA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52011803,610110,TELEFONIA FIJA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52011804,610111,TELEFONIA MOVIL,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520120,610112,"IMPUESTOS, CONTRIBUCIONES Y OTROS",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5201230104,610113,MUEBLES Y ENSERES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5201230105,610114,MAQUINARIA Y EQUIPO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5201230107,610115,EQUIPO DE COMPUTACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5201230109,610116,"OTROS PROPIEDADES, PLANTA Y EQUIPO",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5201230110,610117,REPUESTOS Y HERRAMIENTAS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012701,610118,SERVICIO DE IMPRENTA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012702,610119,SUMINISTROS DE OFICINA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012703,610120,SUMINISTROS Y ARTICULOS DE ASEO Y LIMPIEZA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012705,610121,"GUIAS, COURIERS, CORREOS",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012706,610122,"PEAJES, PARQUEADEROS Y OTROS",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012707,610123,"CAPACITACION, CURSOS Y SEMINARIOS",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012708,610124,ALIMENTACION Y REFRIGERIOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012709,610125,SEGURIDAD Y VIGILANCIA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012710,610126,SERVICIOS DE LIMPIEZA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012712,610127,MANTENIMIENTO EQUIPO COMPUTO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012713,610128,GASTOS LEGALES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012714,610129,SERVICIOS CONTRATADOS A TERCEROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52012715,610130,OTROS GASTOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020101,610131,"SUELDOS, SALARIOS Y DEMAS REMUNERACIONES",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020102,610132,HORAS EXTRA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020103,610133,BONIFICACIONES POR DESEMPEÑO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020201,610134,APORTE PATRONAL,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020202,610135,FONDOS DE RESERVA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020301,610136,DECIMO TERCER SUELDO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020302,610137,DECIMO CUARTO SUELDO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020303,610138,VACACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020304,610139,DESPICO INTEMPESTIVO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020305,610140,DESAHUCIO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020306,610141,OTROS BENEFICIOS E INDEMNIZACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020401,610142,SEGURO MEDICO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020402,610143,CAPACITACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020403,610144,UNIFORMES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020404,610145,ALIMENTACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52020405,610146,OTROS GASTOS DE PLANES DE BENEFICIOS A EMPLEADOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520209,610147,ARRENDAMIENTO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520210,610148,COMISIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520211,610149,PROMOCION Y PUBLICIDAD,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610150,610150,GND OTROS GASTOS NO DEDUCIBLES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610151,610151,INTERESES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610152,610152,GASTOS DE FINANCIAMIENTO DE ACTIVOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610153,610153,DIFERENCIA EN CAMBIO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610154,610154,OTROS GASTOS FINANCIEROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610155,610155,PERDIDA EN INVERSIONES EN ASOCIADAS / SUBSIDIARIAS Y OTRAS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec6102,6102,GASTOS VENTAS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610201,610201,MANTENIMIENTO Y REPARACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610202,610202,ARRENDAMIENTO OPERATIVO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610203,610203,COMISIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610204,610204,PROMOCION Y PUBLICIDAD,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520212,610205,COMBUSTIBLES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520213,610206,LUBRICANTES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520214,610207,SEGUROS Y REASEGUROS (primas y cesiones),FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520215,610208,TRANSPORTE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520216,610209,"GASTOS DE GESTION (agasajos a accionistas, trabajadores y clientes)",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec520217,610210,GASTOS DE VIAJE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52021801,610211,AGUA POTABLE,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52021802,610212,ENERGIA ELECTRICA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52021803,610213,TELEFONIA FIJA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52021804,610214,TELEFONIA MOVIL,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610212,610215,IMPUESTOS CONTRIBUCIONES Y OTROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5202230104,610216,MUEBLES Y ENSERES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5202230105,610217,MAQUINARIA Y EQUIPO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5202230107,610218,EQUIPO DE COMPUTACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5202230109,610219,"OTROS PROPIEDADES, PLANTA Y EQUIPO",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec5202230110,610220,REPUESTOS Y HERRAMIENTAS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610218,610221,SERVICIO DE IMPRENTA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022801,610222,SUMINISTROS DE OFICINA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022802,610223,SUMINISTROS Y ARTÍCULOS DE ASEO Y LIMPIEZA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022804,610224,"GUIAS, COURIERS, CORREOS",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022805,610225,"PEAJES, PARQUEADEROS Y OTROS",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022806,610226,"CAPACITACIÓN, CURSOS Y SEMINARIOS",FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022807,610227,ALIMENTACIÓN Y REFRIGERIOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022808,610228,SEGURIDAD Y VIGILANCIA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022809,610229,SERVICIOS DE LIMPIEZA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022811,610230,MANTENIMIENTO EQUIPO COMPUTO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022814,610231,GASTOS LEGALES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022815,610232,SERVICIOS CONTRATADOS A TERCEROS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ec52022816,610233,OTROS GASTOS,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610231,610234,SUELDOS SALARIOS Y DEMAS REMUNERACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610232,610235,HORAS EXTRA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610233,610236,BONIFICACIONES POR DESEMPE�O,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610234,610237,APORTE PATRONAL,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610235,610238,FONDOS DE RESERVA,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610236,610239,DECIMO TERCER SUELDO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610237,610240,DECIMO CUARTO SUELDO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610238,610241,VACACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610239,610242,DESPICO INTEMPESTIVO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610240,610243,DESAHUCIO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610241,610244,OTROS BENEFICIOS E INDEMNIZACIONES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610242,610245,SEGURO MEDICO,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610243,610246,CAPACITACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610244,610247,UNIFORMES,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
ekec610245,610248,ALIMENTACION,FALSE,account.data_account_type_expenses,l10n_ec_ifrs
